,region,iso3,country,year,month,unrest_index
193,Eastern Africa,KEN,Kenya,2000,8,1760
194,Eastern Africa,MOZ,Mozambique,2000,8,40
195,Eastern Africa,MWI,Malawi,2000,8,45
196,Eastern Africa,SOM,Somalia,2000,8,150
197,Eastern Africa,UGA,Uganda,2000,8,975
198,Middle Africa,AGO,Angola,2000,8,2275
199,Middle Africa,COD,Democratic Republic of Congo,2000,8,775
200,Middle Africa,TCD,Chad,2000,8,175
201,Northern Africa,DZA,Algeria,2000,8,475
202,Northern Africa,SDN,Sudan,2000,8,1825
203,Southern Africa,NAM,Namibia,2000,8,220
204,Southern Africa,ZAF,South Africa,2000,8,250
205,Southern Africa,ZMB,Zambia,2000,8,125
206,Southern Africa,ZWE,Zimbabwe,2000,8,25
207,Western Africa,CIV,Ivory Coast,2000,8,220
208,Western Africa,GIN,Guinea,2000,8,75
209,Western Africa,GMB,Gambia,2000,8,25
210,Western Africa,LBR,Liberia,2000,8,1745
211,Western Africa,NER,Niger,2000,8,50
212,Western Africa,NGA,Nigeria,2000,8,1325
213,Western Africa,SEN,Senegal,2000,8,205
214,Western Africa,SLE,Sierra Leone,2000,8,1100
215,Eastern Africa,BDI,Burundi,2000,9,10375
216,Eastern Africa,ERI,Eritrea,2000,9,0
217,Eastern Africa,ETH,Ethiopia,2000,9,150
218,Eastern Africa,KEN,Kenya,2000,9,490
219,Eastern Africa,MWI,Malawi,2000,9,25
220,Eastern Africa,RWA,Rwanda,2000,9,350
221,Eastern Africa,SOM,Somalia,2000,9,1550
222,Eastern Africa,TZA,Tanzania,2000,9,250
223,Eastern Africa,UGA,Uganda,2000,9,1400
224,Middle Africa,AGO,Angola,2000,9,2775
225,Middle Africa,CMR,Cameroon,2000,9,60
226,Middle Africa,COD,Democratic Republic of Congo,2000,9,750
227,Middle Africa,GNQ,Equatorial Guinea,2000,9,20
228,Northern Africa,DZA,Algeria,2000,9,550
229,Northern Africa,LBY,Libya,2000,9,75
230,Northern Africa,MAR,Morocco,2000,9,20
231,Northern Africa,SDN,Sudan,2000,9,1365
232,Southern Africa,NAM,Namibia,2000,9,850
233,Southern Africa,SWZ,eSwatini,2000,9,40
234,Southern Africa,ZAF,South Africa,2000,9,400
235,Southern Africa,ZMB,Zambia,2000,9,50
236,Southern Africa,ZWE,Zimbabwe,2000,9,175
237,Western Africa,CIV,Ivory Coast,2000,9,1640
238,Western Africa,GIN,Guinea,2000,9,4475
239,Western Africa,LBR,Liberia,2000,9,2125
240,Western Africa,NGA,Nigeria,2000,9,475
241,Western Africa,SEN,Senegal,2000,9,100
242,Western Africa,SLE,Sierra Leone,2000,9,2050
243,Eastern Africa,BDI,Burundi,2000,10,4150
244,Eastern Africa,ERI,Eritrea,2000,10,0
245,Eastern Africa,ETH,Ethiopia,2000,10,2250
246,Eastern Africa,KEN,Kenya,2000,10,1935
247,Eastern Africa,MWI,Malawi,2000,10,75
248,Eastern Africa,RWA,Rwanda,2000,10,25
249,Eastern Africa,SOM,Somalia,2000,10,100
250,Eastern Africa,TZA,Tanzania,2000,10,200
