,iso3,country,year,month,unrest_index
10593,TUN,Tunisia,2013,8,1940
9500,DZA,Algeria,2013,9,1590
9736,EGY,Egypt,2013,9,11695
9917,LBY,Libya,2013,9,2285
10145,MAR,Morocco,2013,9,305
10421,SDN,Sudan,2013,9,5570
10594,TUN,Tunisia,2013,9,720
9501,DZA,Algeria,2013,10,820
9737,EGY,Egypt,2013,10,10220
9918,LBY,Libya,2013,10,4455
10146,MAR,Morocco,2013,10,255
10422,SDN,Sudan,2013,10,6620
10595,TUN,Tunisia,2013,10,2105
9502,DZA,Algeria,2013,11,605
9738,EGY,Egypt,2013,11,9745
9919,LBY,Libya,2013,11,5535
10147,MAR,Morocco,2013,11,200
10423,SDN,Sudan,2013,11,7150
10596,TUN,Tunisia,2013,11,820
9503,DZA,Algeria,2013,12,1210
